anio,sexo,porc_calif_ocupacional,calificacion_ocupacional
2011,m,21.4,Profesional
2011,m,25.6,Técnico
2011,m,28,Operativo
2011,m,24.2,No calificado
2011,m,0.8,No sabe/no contesta
2011,v,24.1,Profesional
2011,v,23.3,Técnico
2011,v,36.7,Operativo
2011,v,15.5,No calificado
2011,v,0.4,No sabe/no contesta
2012,m,19.5,Profesional
2012,m,26.7,Técnico
2012,m,31.6,Operativo
2012,m,22.3,No calificado
2012,m,-,No sabe/no contesta
2012,v,23.7,Profesional
2012,v,23.3,Técnico
2012,v,41.2,Operativo
2012,v,11.9,No calificado
2012,v,-,No sabe/no contesta
2013,m,19.6,Profesional
2013,m,28.1,Técnico
2013,m,32.6,Operativo
2013,m,19.7,No calificado
2013,m,-,No sabe/no contesta
2013,v,20.3,Profesional
2013,v,25.1,Técnico
2013,v,44.6,Operativo
2013,v,9.9,No calificado
2013,v,-,No sabe/no contesta
2014,m,20.1,Profesional
2014,m,23.4,Técnico
2014,m,36.6,Operativo
2014,m,19.9,No calificado
2014,m,-,No sabe/no contesta
2014,v,20.8,Profesional
2014,v,23,Técnico
2014,v,45.9,Operativo
2014,v,10.2,No calificado
2014,v,-,No sabe/no contesta
2015,m,20.2,Profesional
2015,m,25.4,Técnico
2015,m,36.3,Operativo
2015,m,18,No calificado
2015,m,-,No sabe/no contesta
2015,v,21.4,Profesional
2015,v,22.9,Técnico
2015,v,46.6,Operativo
2015,v,9.2,No calificado
2015,v,-,No sabe/no contesta
2016,m,20.4,Profesional
2016,m,29.8,Técnico
2016,m,29.3,Operativo
2016,m,20.5,No calificado
2016,m,-,No sabe/no contesta
2016,v,22.3,Profesional
2016,v,25.2,Técnico
2016,v,39.9,Operativo
2016,v,12.3,No calificado
2016,v,0.2,No sabe/no contesta
2017,m,21.2,Profesional
2017,m,26.5,Técnico
2017,m,35.8,Operativo
2017,m,16.4,No calificado
2017,m,0.1,No sabe/no contesta
2017,v,23.1,Profesional
2017,v,23.7,Técnico
2017,v,44.2,Operativo
2017,v,8.8,No calificado
2017,v,0.2,No sabe/no contesta
2018,m,22.4,Profesional
2018,m,24.7,Técnico
2018,m,43.9,Operativo
2018,m,8.7,No calificado
2018,m,0.3,No sabe/no contesta
2018,v,20.5,Profesional
2018,v,27.9,Técnico
2018,v,36.3,Operativo
2018,v,15.2,No calificado
2018,v,0,No sabe/no contesta
2019,m,25.5,Profesional
2019,m,21.6,Técnico
2019,m,45.7,Operativo
2019,m,7.2,No calificado
2019,m,0,No sabe/no contesta
2019,v,22.4,Profesional
2019,v,25.9,Técnico
2019,v,35.9,Operativo
2019,v,15.7,No calificado
2019,v,0,No sabe/no contesta
