anio,sexo,tasa_desempleo
2003,v,8.9
2003,m,12.3
2004,v,6.5
2004,m,9.6
2005,v,5.5
2005,m,8.2
2006,v,4.5
2006,m,7.4
2007,v,4.8
2007,m,6.0
2008,v,4.930876717629633
2008,m,6.3001769685885165
2009,v,5.4344790358930934
2009,m,6.9774031704158626
2010,v,4.661236890254684
2010,m,7.24038794954869
2011,m,6.604737282958503
2011,v,4.397600289320327
2012,v,4.834198044475448
2012,m,7.661741709961275
2013,v,4.586415570511751
2013,m,6.7773566775618885
2014,v,4.9
2014,m,7.3
2015,v,4.9
2015,m,8.8
2016,v,6.4
2016,m,9.8
2017,v,5.9
2017,m,8.6
2018,v,7.0
2018,m,9.0
2019,v,7.0
2019,m,9.2
